team,avg_gf,avg_ga,avg_xg,avg_xga,avg_poss
Arsenal,1.62,1.16,1.51,1.16,52.92
Aston Villa,1.47,1.39,1.31,1.34,47.02
Brentford,1.19,1.48,1.23,1.33,44.19
Brighton & Hove Albion,1.09,1.48,1.16,1.22,52.2
Burnley,0.92,1.69,1.05,1.55,40.73
Chelsea,2.1,0.9,1.83,0.92,60.52
Crystal Palace,1.29,1.76,1.06,1.43,43.41
Everton,1.16,1.54,1.15,1.42,44.98
Fulham,0.72,1.76,1.09,1.44,50.16
Leeds United,1.54,1.93,1.41,1.79,55.34
Leicester City,1.76,1.51,1.41,1.5,51.84
Liverpool,2.07,1.17,2.01,1.17,62.17
Manchester City,2.52,0.72,2.17,0.75,66.07
Manchester United,2.12,1.52,1.65,1.33,53.58
Newcastle United,1.23,1.81,1.04,1.42,39.0
Norwich City,0.74,2.48,0.88,2.12,42.96
Sheffield United,0.5,1.69,0.81,1.61,42.22
Southampton,1.23,1.94,1.21,1.49,51.92
Tottenham Hotspur,1.86,1.17,1.53,1.19,51.53
Watford,1.0,2.24,1.06,1.7,40.24
West Bromwich Albion,0.85,2.37,0.89,1.98,38.59
West Ham United,1.68,1.28,1.44,1.37,45.26
Wolverhampton Wanderers,1.03,1.24,0.97,1.39,49.93
